clave	concepto	unidad	precio
IB17EG	Te de cobre a hierro a cobre interiores, de 32 mm (1 1/4") de diámetro.	pieza	685.63
IB17EH	Te de cobre a hierro a cobre interiores, de 38 mm (1 1/2") de diámetro.	pieza	941.24
IB17EI	Te de cobre a hierro a cobre interiores, de 51 mm ( 2" ) de diámetro.	pieza	1,041.30
IB18B	Suministro, instalación y pruebas de tuerca unión de cobre a cobre interiores.		
IB18BD	Tuerca unión de cobre a cobre interiores, de 13(1/2") de diámetro.	pieza	92.79
IB18BE	Tuerca unión de cobre a cobre interiores, de 19 mm (3/4") de diámetro.	pieza	114.82
IB18BF	Tuerca unión de cobre a cobre interiores, de 25 mm (1") de diámetro.	pieza	195.88
IB18BG	Tuerca unión de cobre a cobre interiores, de 32 mm (1 1/4") de diámetro.	pieza	370.66
IB18BH	Tuerca unión de cobre a cobre interiores, de 38 mm (1 1/2") de diámetro.	pieza	470.77
IB18BI	Tuerca unión de cobre a cobre interiores, de 51 mm ( 2" ) de diámetro.	pieza	768.75
IB18BJ	Tuerca unión de cobre a cobre interiores, de 64 mm (2 1/2") de diámetro.	pieza	801.68
IB18D	Suministro, instalación y pruebas de tuerca unión de cobre a hierro, rosca interior.		
IB18DC	Tuerca unión de cobre a hierro rosca interior de 10 mm (3/8") de diámetro.	pieza	102.46
IB18DD	Tuerca unión de cobre a hierro rosca interior de 13 mm (1/2") de diámetro.	pieza	160.25
IB18DE	Tuerca unión de cobre a hierro rosca interior de 19 mm (3/4") de diámetro.	pieza	228.70
IB18DF	Tuerca unión de cobre a hierro rosca interior de 25 mm ( 1" ) de diámetro.	pieza	399.60
IB18DG	Tuerca unión de cobre a hierro rosca interior de 32 mm (1 1/4") de diámetro.	pieza	838.65
IB18DH	Tuerca unión de cobre a hierro rosca interior de 38 mm (1 1/2") de diámetro.	pieza	1,045.71
IB18DI	Tuerca unión de cobre a hierro rosca interior de 51 mm ( 2" ) de diámetro.	pieza	1,760.18
IB19B	Suministro, instalación y pruebas de tapón hembra de cobre.		
IB19BC	Tapón hembra de cobre, de 10 mm (3/8") de diámetro.	pieza	38.13
IB19BD	Tapón hembra de cobre, de 13 mm (1/2") de diámetro.	pieza	32.61
IB19BE	Tapón hembra de cobre, de 19 mm (3/4") de diámetro.	pieza	40.92
IB19BF	Tapón hembra de cobre, de 25 mm (1") de diámetro.	pieza	58.12
IB19BG	Tapón hembra de cobre, de 32 mm (1 1/4") de diámetro.	pieza	74.86
IB19BH	Tapón hembra de cobre, de 38 mm (1 1/2") de diámetro.	pieza	92.76
IB19BI	Tapón hembra de cobre, de 51 mm ( 2" ) de diámetro.	pieza	140.70
IB19BJ	Tapón hembra de cobre, de 64 mm (2 1/2") de diámetro.	pieza	186.96
IB19BK	Tapón hembra de cobre, de 76 mm ( 3" ) de diámetro.	pieza	245.10
IB19BL	Tapón hembra de cobre, de 102 mm ( 4" ) de diámetro.	pieza	324.10
IB20B	Suministro, instalación y pruebas de ye de cobre a cobre a cobre interiores.		
IB20BC	Ye de cobre a cobre a cobre interiores, de 10 mm (3/8") de diámetro.	pieza	89.88
IB20BD	Ye de cobre a cobre a cobre interiores, de 13 mm (1/2") de diámetro.	pieza	171.64
IB20BE	Ye de cobre a cobre a cobre interiores, de 19 mm (3/4") de diámetro.	pieza	239.75
IB20BF	Ye de cobre a cobre a cobre interiores, de 25 mm ( 1" ) de diámetro.	pieza	291.39
IB20BG	Ye de cobre a cobre a cobre interiores, de 32 mm (1 1/4") de diámetro.	pieza	627.55
IB20BH	Ye de cobre a cobre a cobre interiores, de 38 mm (1 1/2") de diámetro.	pieza	690.00
IB20BI	Ye de cobre a cobre a cobre interiores, de 51 mm ( 2" ) de diámetro.	pieza	1,265.37
IB20BJ	Ye de cobre a cobre a cobre interiores, de 64 mm (2 1/2") de diámetro.	pieza	2,064.29
IB20BK	Ye de cobre a cobre a cobre interiores, de 76 mm ( 3" ) de diámetro.	pieza	2,184.79
IB20BL	Ye de cobre a cobre a cobre interiores, de 102 mm ( 4" ) de diámetro.	pieza	5,545.01
IB21B	Suministro, instalación y pruebas de cruz de cobre a cobre a cobre a cobre interiores.		
IB21BC	Cruz de cobre a cobre de 10 mm (3/8") de diámetro.	pieza	120.47
IB21BD	Cruz de cobre a cobre de 13 mm (1/2") de diámetro.	pieza	161.93
IB21BE	Cruz de cobre a cobre de 19 mm (3/4") de diámetro.	pieza	249.58
IB21BF	Cruz de cobre a cobre de 25 mm ( 1" ) de diámetro.	pieza	367.12
IB21BG	Cruz de cobre a cobre de 32 mm (1 1/4") de diámetro.	pieza	552.96
IB21BH	Cruz de cobre a cobre de 38 mm (1 1/2") de diámetro.	pieza	716.26
IB21BI	Cruz de cobre a cobre de 51 mm ( 2" ) de diámetro.	pieza	1,279.87
IB21BJ	Cruz de cobre a cobre de 64 mm. (2 1/2") de diámetro.	pieza	1,275.87
IB21BK	Cruz de cobre a cobre de 76 mm ( 3" ) de diámetro.	pieza	1,763.58
IB21BL	Cruz de cobre a cobre de 102 mm ( 4" ) de diámetro.	pieza	2,539.03
IC	Suministro, instalación y pruebas de válvulas, incluye: los materiales, la mano de obra para la presentación, instalación, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.021.		
IC12B	Suministro, instalación y pruebas de válvulas de compuerta bridada modelo 719 F, 125 lb, marca Walworth o similar.		
IC12BJ	Válvula de compuerta bridada, de 64 mm de diámetro, 125 lb, modelo 719F, incluye tornillos.	pieza	4,060.91
IC12BK	Válvula de compuerta bridada, de 76 mm de diámetro, 125 lb, modelo 719F, incluye tornillos.	pieza	4,952.06
IC12BL	Válvula de compuerta bridada, de 102 mm de diámetro, 125 lb, modelo 719F, incluye tornillos.	pieza	7,765.53
IC12BM	Válvula de compuerta bridada, de 125 mm de diámetro, 125 lb, modelo 719F,incluye tornillos.	pieza	11,248.12
IC12BN	Válvula de compuerta bridada, de 153 mm de diámetro, 125 lb, modelo 719F, incluye tornillos.	pieza	12,444.63
IC12BO	Válvula de compuerta bridada, de 204 mm de diámetro, 125 lb, modelo 719F, incluye tornillos.	pieza	18,312.67
IC12C	Suministro, instalación y pruebas de válvulas de compuerta de bronce vástago ascendente extremos roscados, figura 02, marca Urrea o similar.		
IC12CB	Válvula de compuerta, extremos roscados de 6 mm de diámetro, figura 02	pieza	419.34
IC12CC	Válvula de compuerta, extremos roscados de 10 mm de diámetro, figura 02	pieza	419.34
IC12CD	Válvula de compuerta, extremos roscados de 13 mm de diámetro, figura 02	pieza	525.08
IC12CE	Válvula de compuerta, extremos roscados de 19 mm de diámetro, figura 02	pieza	714.55
IC12CF	Válvula de compuerta, extremos roscados, de 25 mm de diámetro, figura 02	pieza	921.66
IC12CG	Válvula de compuerta, extremos roscados de 32 mm de diámetro, figura 02	pieza	1,286.90
IC12CH	Válvula de compuerta, extremos roscados de 38 mm de diámetro, figura 02	pieza	1,529.03
IC12CI	Válvula de compuerta, extremos roscados de 51 mm de diámetro, figura 02	pieza	2,326.15
IC12CJ	Válvula de compuerta, extremos roscados de 64 mm de diámetro, figura 02	pieza	4,588.81
IC12CK	Válvula de compuerta, extremos roscados de 76 mm de diámetro, figura 02	pieza	6,025.10
IC12CL	Válvula de compuerta, extremos roscados de 102 mm de diámetro, figura 02	pieza	13,353.85
IC12D	Suministro, instalación y pruebas de válvulas de compuerta de bronce vástago ascendente extremos roscados, figura 11, marca Urrea o similar.		
IC12DC	Válvula de compuerta, extremos roscados de 10 mm de diámetro, figura 11	pieza	626.97
IC12DD	Válvula de compuerta, extremos roscados de 13 mm de diámetro, figura 11	pieza	755.76
IC12DE	Válvula de compuerta, extremos roscados de 19 mm de diámetro, figura 11	pieza	881.67
IC12DF	Válvula de compuerta, extremos roscados de 25 mm de diámetro, figura 11	pieza	1,118.85
IC12DG	Válvula de compuerta, extremos roscados, de 32 mm de diámetro, figura 11	pieza	1,502.50
IC12DH	Válvula de compuerta, extremos roscados de 38 mm de diámetro, figura 11	pieza	1,855.34
IC12DI	Válvula de compuerta, extremos roscados de 51 mm de diámetro, figura 11	pieza	2,829.82
IC12DJ	Válvula de compuerta, extremos roscados de 64 mm de diámetro, figura 11	pieza	5,670.48
IC12DK	Válvula de compuerta, extremos roscados de 76 mm de diámetro, figura 11	pieza	7,759.37
IC12E	Suministro, instalación y pruebas de válvulas de compuerta de bronce vástago no ascendente extremos roscados, figura 22, marca Urrea o similar.		
IC12EC	Válvula de compuerta, extremos roscados de 10 mm de diámetro, figura 22	pieza	591.50
IC12ED	Válvula de compuerta, extremos roscados de 13 mm de diámetro, figura 22	pieza	591.52
IC12EE	Válvula de compuerta, extremos roscados de 19 mm de diámetro, figura 22	pieza	727.22
IC12EF	Válvula de compuerta, extremos roscados de 25 mm de diámetro, figura 22	pieza	1,216.67
IC12EG	Válvula de compuerta, extremos roscados de 32 mm de diámetro, figura 22	pieza	1,819.01
IC12EH	Válvula de compuerta, extremos roscados de 38 mm de diámetro, figura 22	pieza	2,421.67
IC12EI	Válvula de compuerta, extremos roscados de 51 mm de diámetro, figura 22	pieza	3,474.75
IC12F	Suministro, instalación y pruebas de válvulas de compuerta de bronce vástago ascendente extremos soldables, figura 702, marca Urrea o similar.		
IC12FC	Válvula de compuerta, extremos soldables de 10 mm de diámetro, figura 702	pieza	354.79
IC12FD	Válvula de compuerta, extremos soldables de 13 mm de diámetro, figura 702	pieza	527.62
IC12FE	Válvula de compuerta, extremos soldables de 19 mm de diámetro, figura 702	pieza	662.77
IC12FF	Válvula de compuerta, extremos soldables de 25 mm de diámetro, figura 702	pieza	860.29
IC12FG	Válvula de compuerta, extremos soldables de 32 mm de diámetro, figura 702	pieza	1,230.37
IC12FH	Válvula de compuerta, extremos soldables de 38 mm de diámetro, figura 702	pieza	1,487.79
IC12FI	Válvula de compuerta, extremos soldables de 51 mm de diámetro, figura 702	pieza	2,252.96
IC12FJ	Válvula de compuerta, extremos soldables de 64 mm de diámetro, figura 702	pieza	4,473.75
IC12FK	Válvula de compuerta, extremos soldables de 76 mm de diámetro, figura 702	pieza	4,747.52
IC12G	Suministro, instalación y pruebas de válvulas de globo de bronce vástago ascendente extremos roscados, figura 95, marca Urrea o similar.		
IC12GB	Válvula de globo, extremos roscados de 6 mm de diámetro, figura 95	pieza	942.97
IC12GC	Válvula de globo, extremos roscados de 10 mm de diámetro, figura 95	pieza	942.97
IC12GD	Válvula de globo, extremos roscados de 13 mm de diámetro, figura 95	pieza	943.09
IC12GE	Válvula de globo, extremos roscados de 19 mm de diámetro, figura 95	pieza	1,288.31
IC12GF	Válvula de globo, extremos roscados de 25 mm de diámetro, figura 95	pieza	1,803.52
IC12GG	Válvula de globo, extremos roscados de 32 mm de diámetro, figura 95	pieza	2,975.50
IC12GH	Válvula de globo, extremos roscados de 38 mm de diámetro, figura 95	pieza	3,424.49
IC12GI	Válvula de globo, extremos roscados de 51 mm de diámetro, figura 95	pieza	5,048.66
IC12GJ	Válvula de globo, extremos roscados de 64 mm de diámetro, figura 95	pieza	11,450.50
IC12GK	Válvula de globo, extremos roscados de 76 mm de diámetro, figura 95	pieza	16,797.34
IC12H	Suministro, instalación y pruebas de válvulas de globo de bronce, extremos roscados, figura 225-P, marca Urrea o similar.		
IC12HD	Válvula de globo, extremos roscados de 13 mm de diámetro, figura 225-P	pieza	1,704.34
IC12HE	Válvula de globo, extremos roscados de 19 mm de diámetro, figura 225-P	pieza	2,334.17
IC12HF	Válvula de globo, extremos roscados de 25 mm de diámetro, figura 225-P	pieza	2,958.90
IC12HG	Válvula de globo, extremos roscados de 32 mm de diámetro, figura 225-P	pieza	4,049.58
IC12HH	Válvula de globo, extremos roscados de 38 mm de diámetro, figura 225-P	pieza	5,582.28
IC12HI	Válvula de globo, extremos roscados de 51 mm de diámetro, figura 225-P	pieza	9,127.25
IC12I	Suministro, instalación y pruebas de válvulas de globo bridada 125 lb, figura 906F, marca Walworth o similar.		
IC12IJ	Válvula de globo, de 64 mm de diámetro,125 lb, figura 906F	pieza	5,474.17
IC12IK	Válvula de globo, de 76 mm de diámetro, 125 lb, figura 906F	pieza	7,091.56
IC12IL	Válvula de globo, de 102 mm de diámetro, 125 lb, figura 906F	pieza	9,070.81
IC12IM	Válvula de globo, de 152 mm de diámetro, 125 lb, figura 906F	pieza	17,332.11
IC12IN	Válvula de globo, de 204 mm de diámetro, 125 lb, figura 906F	pieza	30,964.59
IC12J	Suministro, instalación y pruebas de válvulas de macho de bronce extremos roscados, figura 14, marca Urrea o similar.		
IC12JC	Válvula macho, extremos roscados de 10 mm de diámetro, figura 14	pieza	409.45
IC12JD	Válvula macho, extremos roscados de 13 mm de diámetro, figura 14	pieza	419.90
IC12JE	Válvula macho, extremos roscados de 19 mm de diámetro, figura 14	pieza	519.62
IC12JF	Válvula macho, extremos roscados de 25 mm de diámetro, figura 14	pieza	730.86
IC12JG	Válvula macho, extremos roscados de 32 mm de diámetro, figura 14	pieza	1,126.39
IC12JH	Válvula macho, extremos roscados de 38 mm de diámetro, figura 14	pieza	1,340.03
IC12JI	Válvula macho extremos roscados de 51 mm de diámetro, figura 14	pieza	2,006.43
IC12JJ	Válvula macho, extremos roscados de 64 mm de diámetro, figura 14	pieza	3,530.57
IC12JK	Válvula macho, extremos roscados de 76 mm de diámetro, figura 14	pieza	6,694.26
IC12JL	Válvula macho, extremos roscados de 102 mm de diámetro, figura 14	pieza	12,215.09
IC12K	Suministro, instalación y pruebas de válvulas de retención vertical de bronce extremos roscados, figura 44-T, marca Urrea o similar.		
IC12KD	Válvula de retención vertical, extremos roscados de 13 mm de diámetro, figura 44-T	pieza	443.42
IC12KE	Válvula de retención vertical, extremos roscados de 19 mm de diámetro, figura 44-T	pieza	559.73
IC12KF	Válvula de retención vertical, extremos roscados de 25 mm de diámetro, figura 44-T	pieza	736.38
IC12KG	Válvula de retención vertical , extremos roscados de 32 mm de diámetro, figura 44-T	pieza	965.79
IC12KH	Válvula de retención vertical, extremos roscados de 38 mm de diámetro, figura44-T	pieza	1,331.72
IC12KI	Válvula de retención vertical, extremos roscados de 51 mm de diámetro, figura 44-T	pieza	1,891.55
IC12KL	Válvula de retención vertical, extremos roscados de 64 mm de diámetro, figura 44-T	pieza	3,401.25
IC12KM	Válvula de retención vertical, extremos roscados de 76 mm de diámetro, figura 44-T	pieza	4,357.07
IC12KN	Válvula de retención vertical, extremos roscados de 102 mm de diámetro, figura 44-T	pieza	8,652.43
IC12L	Suministro, instalación y pruebas de válvulas de retención de columpio de bronce, figura 85-T, marca Urrea o similar.		
IC12LD	Válvula de retención de columpio, extremos roscados de 13 mm de diámetro, figura 85-T	pieza	514.02
IC12LE	Válvula de retención de columpio, extremos roscados de 19 mm de diámetro, figura 85-T	pieza	631.63
IC12LF	Válvula de retención de columpio, extremos roscados de 25 mm de diámetro, figura 85-T	pieza	797.29
IC12LG	Válvula de retención de columpio, extremos roscados de 32 mm de diámetro, figura 85-T	pieza	1,159.58
IC12LH	Válvula de retención de columpio, extremos roscados de 38 mm de diámetro, figura 85-T	pieza	1,546.26
IC12LI	Válvula de retención de columpio, extremos roscados de 51 mm de diámetro, figura 85-T	pieza	2,467.33
IC12N	Suministro, instalación y pruebas de válvulas de bola de bronce extremos roscados, figura 580, marca Urrea o similar.		
IC12ND	Válvula de bola, extremos roscados de 13 mm de diámetro, figura 580	pieza	908.82
IC12NE	Válvula de bola, extremos roscados de 19 mm de diámetro, figura 580	pieza	1,074.06
IC12NF	Válvula de bola, extremos roscados de 25 mm de diámetro, figura 580	pieza	1,264.08
IC12NG	Válvula de bola, extremos roscados de 32 mm de diámetro, figura 580	pieza	1,690.75
IC12NH	Válvula de bola, extremos roscados de 38 mm de diámetro, figura 580.	pieza	2,595.33
IC12NI	Válvula de bola, extremos roscados de 51 mm de diámetro, figura 580	pieza	4,067.46
IC12P	Suministro, instalación y pruebas de válvulas de alta presión, con flotador, marca Valezzi o similar.		
IC12PD	Válvula de alta presión, con flotador, de 13 mm (1/2") de diámetro, código 423602	pieza	523.49
IC12PE	Válvula de alta presión, con flotador, de 19 mm (3/4") de diámetro, código 423604	pieza	589.00
IC12PF	Válvula de alta presión, con flotador, de 25 mm ( 1" ) de diámetro, código 423606	pieza	936.66
IC12PG	Válvula de alta presión, con flotador, de 32 mm (1 1/4") de diámetro, código 423608	pieza	1,239.88
IC12PH	Válvula de alta presión, con flotador, de 38 mm (1 1/2") de diámetro, código 423610	pieza	2,181.93
IC12PI	Válvula de alta presión, con flotador, de 51 mm ( 2" ) de diámetro, código 423612	pieza	4,688.21
IC12PJ	Válvula de alta presión, con flotador, de 76 mm de diámetro, código 423614	pieza	7,095.37
IC12Q	Suministro, instalación y pruebas de válvulas mariposa Onix, conexión de fierro a fierro		
IC12QB	Válvula mariposa Onix, conexión de fierro a bronce, de 51 mm de diámetro.	pieza	2,435.03
IC12QC	Válvula mariposa Onix, conexión de fierro a bronce de 64 mm de diámetro.	pieza	2,176.37
IC12QD	Válvula mariposa Onix, conexión de fierro a bronce, de 75 mm de diámetro.	pieza	3,138.81
IC12QE	Válvula mariposa Onix, conexión de fierro a bronce, de 102 mm de diámetro.	pieza	4,190.54
IC12QF	Válvula mariposa Onix, conexión de fierro a bronce, de 152 mm de diámetro.	pieza	6,759.94
IC12QG	Válvula mariposa Onix, conexión de fierro a bronce, de 203 mm de diámetro	pieza	6,049.60
IC12QH	Válvula mariposa Onix, conexión de fierro a bronce, de 254 mm de diámetro	pieza	7,866.75
IC12R	Suministro, instalación y pruebas de válvulas de bola figura 555, marca Urrea o similar.		
IC12RE	Válvula de bola de 13 mm de diámetro, figura 555, Urrea o similar.	pieza	193.51
IC12RG	Válvula de bola de 19 mm de diámetro, figura 555, Urrea o similar.	pieza	270.32
IC12RH	Válvula de bola de 25 mm de diámetro, figura 555, Urrea o similar.	pieza	367.34
IC12RJ	Válvula de bola de 32 mm de diámetro, figura 555, Urrea o similar.	pieza	590.84
IC12RK	Válvula de bola de 38 mm de diámetro, figura 555, Urrea o similar.	pieza	836.89
IC12RL	Válvula de bola de 51 mm de diámetro, figura 555, Urrea o similar.	pieza	1,242.82
IC12RM	Válvula de bola de 64 mm de diámetro, figura 555, Urrea o similar.	pieza	2,403.39
IC12RN	Válvula de bola de 76 mm de diámetro, figura 555, Urrea o similar.	pieza	3,800.23
IC12RP	Válvula de bola de 102 mm de diámetro, figura 555, Urrea o similar.	pieza	6,160.08
IC12S	Suministro, instalación y pruebas de válvulas de globo de bronce, figura 58, marca Urrea o similar.		
IC12SB	Válvula de globo, extremos roscados de 6 mm de diámetro, figura 58	pieza	700.88
IC12SC	Válvula de globo, extremos roscados de 10 mm de diámetro, figura 58	pieza	700.88
IC12SD	Válvula de globo, extremos roscados de 13 mm de diámetro, figura 58	pieza	700.88
IC12SE	Válvula de globo, extremos roscados de 19 mm de diámetro, figura 58	pieza	887.77
IC12SF	Válvula de globo, extremos roscados de 25 mm de diámetro, figura 58	pieza	1,193.98
IC12SG	Válvula de globo, extremos roscados de 32 mm de diámetro, figura 58	pieza	1,609.40
IC12SH	Válvula de globo, extremos roscados de 38 mm de diámetro, figura 58	pieza	2,199.50
IC12SI	Válvula de globo, extremos roscados de 51 mm de diámetro, figura 58	pieza	3,315.77
IC12SJ	Válvula de globo, extremos roscados, de 64 mm de diámetro figura 58	pieza	7,323.39
IC12SK	Válvula de globo, extremos roscados de 76 mm de diámetro, figura 58	pieza	10,170.97
IC12SL	Válvula de globo, extremos roscados de 102 mm de diámetro, figura 58	pieza	12,978.90
IC12T	Suministro, instalación y pruebas de válvulas de retención horizontales de bronce, figura 3-T, marca Urrea o similar.		
IC12TD	Válvula de retención horizontal, extremos roscados de 13 mm de diámetro, figura 3-T	pieza	434.65
IC12TE	Válvula de retención horizontal, extremos roscados de 19 mm de diámetro, figura 3-T	pieza	604.20
IC12TF	Válvula de retención horizontal, extremos roscados de 25 mm de diámetro, figura 3-T	pieza	792.21
IC12TG	Válvula de retención horizontal, extremos roscados de 32 mm de diámetro, figura 3-T	pieza	1,129.12
IC12TH	Válvula de retención horizontal, extremos roscados de 38 mm de diámetro, figura 3-T	pieza	1,473.25
IC12TJ	Válvula de retención horizontal, extremos roscados de 51 mm de diámetro, figura 3-T	pieza	2,432.72
IC12TK	Válvula de retención horizontal, extremos roscados de 64 mm de diámetro, figura 3-T	pieza	3,644.21
IC12TL	Válvula de retención horizontal, extremos roscados de 76 mm de diámetro, figura 3-T	pieza	5,240.13
IC12TM	Válvula de retención horizontal, extremos roscados de 102 mm de diámetro, figura 3-T	pieza	12,039.32
IC13P	Suministro, instalación y prueba de válvulas check bridada, 125 lbs, tipo 928F, marca Walworth o similar.		
IC13PK	Válvula check bridada, de 64 mm de diámetro, 125 lbs,tipo 928F	pieza	3,442.61
IC13PL	Válvula check bridada, de 76mm de diámetro, 125 lbs, tipo 928F	pieza	4,137.47
IC13PM	Válvula check bridada, de 102 mm de diámetro, 125 lbs, tipo 928F	pieza	6,352.19
IC13PN	Válvula check bridada, de 152 mm de diámetro, 125 lbs, tipo 928F	pieza	9,991.06
IC13PP	Válvula check bridada, de 204 mm de diámetro, 125 lbs, tipo 928F	pieza	16,443.99
IC14	Suministro, instalación y pruebas de tuerca cónica "flaire" modelo 21-FS marca Urrea o similar.		
IC14BB	Tuerca cónica modelo 21-FS de6 mm de diámetro.	pieza	39.17
IC14BD	Tuerca cónica modelo 21-FS de 13 mm de diámetro.	pieza	56.73
ID12B	Suministro, instalación y pruebas válvulas pichancha.		
ID12BG	Válvula pichancha de 32 mm de diámetro.	pieza	328.49
ID12BH	Válvula pichancha de 51 mm de diámetro.	pieza	573.17
ID12BI	Válvula pichancha de 64 mm de diámetro.	pieza	954.28
ID12C	Suministro, instalación y pruebas de válvulas de retención universal, marca Valmex o similar.		
ID12CH	Válvula de retención universal de 38 mm de diámetro, marca Valmex o similar.	pieza	492.35
ID12CJ	Válvula de retención universal de 64 mm de diámetro, marca Valmex o similar.	pieza	1,792.26
ID12CK	Válvula de retención universal de 76 mm de diámetro, marca Valmex o similar.	pieza	2,300.26
IE	Suministro, instalación y pruebas de tubos y conexiones de fierro galvanizado cédula-40, incluye: los materiales, la mano de obra para los cortes, roscado, unión, fijación, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.021.		
IE12B	Suministro, instalación y pruebas de tubos de fierro galvanizado cédula- 40.		
IE12BB	Tubo de fierro galvanizado de 6 mm (1/4") de diámetro.	m	98.18
IE12BC	Tubo de fierro galvanizado de 10 mm (3/8") de diámetro.	m	102.28
IE12BD	Tubo de fierro galvanizado de 13 mm (1/2") de diámetro.	m	115.01
IE12BE	Tubo de fierro galvanizado de 19 mm (3/4") de diámetro.	m	143.49
IE12BF	Tubo de fierro galvanizado de 25 mm ( 1" ) de diámetro.	m	197.20
IE12BG	Tubo de fierro galvanizado de 32 mm (1 1/4") de diámetro.	m	256.78
IE12BH	Tubo de fierro galvanizado de 38 mm (1 1/2") de diámetro.	m	301.40
IE12BI	Tubo de fierro galvanizado de 51 mm ( 2" ) de diámetro.	m	392.45
IE12BJ	Tubo de fierro galvanizado de 64 mm (2 1/2") de diámetro.	m	595.71
IE12BK	Tubo de fierro galvanizado de 76 mm ( 3" ) de diámetro.	m	769.45
IE12BL	Tubo de fierro galvanizado de 102 mm ( 4" ) de diámetro.	m	1,071.48
IE13B	Suministro, instalación y pruebas de codo de 90° de fierro galvanizado.		
IE13BB	Codo de fierro galvanizado, de 90° X 6 mm (1/4") de diámetro.	pieza	61.47
IE13BC	Codo de fierro galvanizado, de 90° X 10 mm (3/8") de diámetro.	pieza	54.92
IE13BD	Codo de fierro galvanizado, de 90° X 13 mm (1/2") de diámetro.	pieza	45.85
IE13BE	Codo de fierro galvanizado, de 90° X 19 mm (3/4") de diámetro.	pieza	56.70
IE13BF	Codo de fierro galvanizado, de 90° X 25 mm ( 1" ) de diámetro.	pieza	75.46
IE13BG	Codo de fierro galvanizado, de 90° X 32 mm ( 1 1/4") de diámetro.	pieza	101.05
IE13BH	Codo de fierro galvanizado de 90° X 38 mm (1 1/2") de diámetro.	pieza	118.12
IE13BI	Codo de fierro galvanizado de 90° X 51 mm ( 2" ) de diámetro.	pieza	154.08
IE13BJ	Codo de fierro galvanizado, de 90° X 64 mm (2 1/2") de diámetro.	pieza	292.81
IE13BK	Codo de fierro galvanizado de 90° X 76 mm ( 3" ) de diámetro.	pieza	463.10
IE13BL	Codo de fierro galvanizado, de 90° X 102 mm ( 4" ) de diámetro.	pieza	798.75
IE13C	Suministro, instalación y pruebas de codo de 45° de fierro galvanizado.		
IE13CB	Codo de fierro galvanizado, de 45° X 6 mm (1/4") de diámetro.	pieza	59.84
IE13CC	Codo de fierro galvanizado, de 45° X 10 mm (3/8") de diámetro.	pieza	64.10
IE13CD	Codo de fierro galvanizado de 45° X 13 mm (1/2") de diámetro.	pieza	52.40
IE13CE	Codo de fierro galvanizado, de 45° X 19 mm (3/4") de diámetro.	pieza	63.27
IE13CF	Codo de fierro galvanizado, de 45° X 25 mm ( 1" ) de diámetro.	pieza	74.15
IE13CG	Codo de fierro galvanizado, de 45° x 32 mm (1 1/4") de diámetro.	pieza	108.90
IE13CH	Codo de fierro galvanizado de 45° X 38 mm (1 1/2") de diámetro.	pieza	123.39
IE13CI	Codo de fierro galvanizado, de 45° X 51 mm ( 2" ) de diámetro.	pieza	160.54
IE13CJ	Codo de fierro galvanizado de 45° X 64 mm (2 1/2") de diámetro.	pieza	287.54
IE13CK	Codo de fierro galvanizado, de 45° X 76 mm ( 3" ) de diámetro.	pieza	436.66
IE13CL	Codo de fierro galvanizado, de 45° X 102 mm ( 4" ) de diámetro.	pieza	637.36
IE14B	Suministro, instalación y pruebas de cople reforzado de fierro galvanizado.		
IE14BC	Cople de fierro galvanizado, de 10 mm (3/8") de diámetro.	pieza	53.61
IE14BD	Cople de fierro galvanizado, de 13 mm (1/2") de diámetro.	pieza	46.01
IE14BE	Cople de fierro galvanizado, de 19 mm (3/4") de diámetro.	pieza	53.53
IE14BF	Cople de fierro galvanizado, de 25 mm ( 1" ) de diámetro.	pieza	67.47
IE14BG	Cople de fierro galvanizado, de 32 mm (1 1/4") de diámetro.	pieza	85.14
IE14BH	Cople de fierro galvanizado, de 38 mm (1 1/2") de diámetro.	pieza	93.03
IE14BI	Cople de fierro galvanizado, de 51 mm ( 2" ) de diámetro.	pieza	119.75
IE14BJ	Cople de fierro galvanizado, de 64 mm (2 1/2") de diámetro.	pieza	197.03
IE14BK	Cople de fierro galvanizado, de 76 mm ( 3" ) de diámetro.	pieza	275.51
IE14BL	Cople de fierro galvanizado, de 102 mm ( 4" ) de diámetro.	pieza	420.90
IE15B	Suministro, instalación y pruebas de te de fierro galvanizado.		
IE15BC	Te de fierro galvanizado, de 6 mm (1/4") de diámetro.	pieza	81.73
IE15BD	Te de fierro galvanizado, de 10 mm (3/8") de diámetro.	pieza	78.96
IE15BE	Te de fierro galvanizado, de 13 mm (1/2") de diámetro.	pieza	66.45
IE15BF	Te de fierro galvanizado, de 19 mm (3/4") de diámetro.	pieza	84.18
IE15BG	Te de fierro galvanizado, de 25 mm ( 1" ) de diámetro.	pieza	110.17
IE15BH	Te de fierro galvanizado, de 32 mm (1 1/4") de diámetro.	pieza	171.97
IE15BI	Te de fierro galvanizado, de 38 mm (1 1/2") de diámetro.	pieza	183.25
IE15BJ	Te de fierro galvanizado, de 51 mm ( 2" ) de diámetro.	pieza	242.25
IE15BK	Te de fierro galvanizado, de 64 mm (2 1/2") de diámetro.	pieza	446.47
IE15BL	Te de fierro galvanizado, de 76 mm ( 3" ) de diámetro.	pieza	661.97
